Id,ClientId,Action,Date,Note,Category,AmountInCents
57,1306,WASH GAS,2021-02-24 00:00:00.000,For Mark Mouhcine.,NULL,NULL
58,1306,PRESCRIPTION,2020-04-27 00:00:00.000,Prescription for Mouhcine Bennis.,NULL,NULL
59,1306,PEPCO,2018-06-08 00:00:00.000,Check was to Mark Mouhcine at 6547 Fallwind Lane when this payment was made.,NULL,NULL
60,7011,WASH GAS,2014-09-14 00:00:00.000,NULL,NULL,NULL
61,7012,PEPCO,2015-07-15 00:00:00.000,NULL,NULL,NULL
62,7013," - FIELDS OF SS",2012-10-12 00:00:00.000,NULL,NULL,NULL
63,7014,HARWOOD FLATS,2023-01-18 00:00:00.000,NULL,NULL,NULL
64,1309," (THROUGH BETHESDA CARES)",2011-01-11 00:00:00.000,NULL,NULL,NULL
65,7015,PEPCO,2013-06-13 00:00:00.000,NULL,NULL,NULL
66,7016,,2017-06-08 00:00:00.000,NULL,NULL,NULL
67,7017,UTILITIES - WASH GAS,2009-10-09 00:00:00.000,NULL,NULL,NULL
68,7018,PEPCO,2017-06-06 00:00:00.000,NULL,NULL,NULL
69,7019,PRESCRIPTIONS,2015-12-14 00:00:00.000,NULL,NULL,NULL
70,7020," - HOC",2018-04-23 00:00:00.000,NULL,NULL,NULL
71,7021,PEPCO,2011-06-11 00:00:00.000,NULL,NULL,NULL
72,7022,PEPCO,2019-07-10 00:00:00.000,NULL,NULL,NULL
73,7023,PEPCO,2016-09-19 00:00:00.000,NULL,NULL,NULL
74,7024,PRESCRIPTION,2013-04-13 00:00:00.000,NULL,NULL,NULL
75,7025,WSSC,2011-09-01 00:00:00.000,NULL,NULL,NULL
76,7026,pepco,2022-06-25 00:00:00.000,NULL,NULL,NULL
77,7027,PEPCO,2011-12-11 00:00:00.000,NULL,NULL,NULL
78,7028,PEPCO,2015-12-01 00:00:00.000,NULL,NULL,NULL
79,7029,UTILITIES - CROSSWAYS COMMUNITY,2009-09-09 00:00:00.000,NULL,NULL,NULL
80,4026,WASH GAS,2018-10-18 00:00:00.000,NULL,NULL,NULL
81,7031,RESIDENCY CARD REPLACEMENT (thru Bethesda Cares),2010-03-10 00:00:00.000,NULL,NULL,NULL
82,7032,,2019-05-07 00:00:00.000,NULL,NULL,NULL
83,7033,PRESCRIPTION,2014-11-14 00:00:00.000,NULL,NULL,NULL
84,7033,PRESCRIPTION,2015-01-12 00:00:00.000,NULL,NULL,NULL
85,7034,"PRESCRIPTION ",2011-10-01 00:00:00.000,NULL,NULL,NULL
86,7035,"PRESCRIPTION ",2016-05-06 00:00:00.000,NULL,NULL,NULL
87,7165,PRESCRIPTION MAY 2009,2009-05-09 00:00:00.000,"Prescription was for spouse, Frank Calcara.",NULL,NULL
88,7037,PEPCO,2017-05-03 00:00:00.000,NULL,NULL,NULL
89,7037,PEPCO,2017-07-12 00:00:00.000,NULL,NULL,NULL
90,7038,,2015-08-01 00:00:00.000,NULL,NULL,NULL
91,7038,,2017-07-27 00:00:00.000,NULL,NULL,NULL
92,7038,,2019-03-16 00:00:00.000,NULL,NULL,NULL
93,7039,PEPCO,2010-08-10 00:00:00.000,NULL,NULL,NULL
94,7040,,2011-12-11 00:00:00.000,NULL,NULL,NULL
95,7041,PEPCO,2010-07-10 00:00:00.000,NULL,NULL,NULL
96,7042,PEPCO,2009-09-09 00:00:00.000,NULL,NULL,NULL
97,7042,PEPCO,2012-04-01 00:00:00.000,NULL,NULL,NULL
98,3959,PRESCRIPTION,2014-09-14 00:00:00.000,NULL,NULL,NULL
99,7043,PRESCRIPTION,2014-04-01 00:00:00.000,NULL,NULL,NULL
100,7043,PRESCRIPTION,2014-07-14 00:00:00.000,NULL,NULL,NULL
101,1329,MEDICAL - JOHN HOPKINS,2022-01-25 00:00:00.000,NULL,NULL,NULL
102,1329,MEDICAL - CHESAPEAKE UROLOGY,2022-01-25 00:00:00.000,NULL,NULL,NULL
103,1329,MEDICAL - AJIT KURUVILLA MD,2022-02-04 00:00:00.000,NULL,NULL,NULL
104,7044,WSSC,2017-02-22 00:00:00.000,NULL,NULL,NULL
105,7045,,2014-03-14 00:00:00.000,NULL,NULL,NULL
106,7046,PRESCRIPTION,2009-09-09 00:00:00.000,NULL,NULL,NULL
107,7047,PRESCRIPTION,2010-10-10 00:00:00.000,NULL,NULL,NULL
108,7048,PEPCO,2011-02-11 00:00:00.000,NULL,NULL,NULL
109,7048," - HOC",2013-09-13 00:00:00.000,NULL,NULL,NULL
110,1336,,2020-08-18 00:00:00.000,NULL,NULL,NULL
111,7049,WSSC  MAR 201077,2010-03-10 00:00:00.000,NULL,NULL,NULL
112,7050,PEPCO,2012-10-12 00:00:00.000,NULL,NULL,NULL
113,7051,WSSC,2010-08-10 00:00:00.000,NULL,NULL,NULL
114,7052,,2018-06-08 00:00:00.000,NULL,NULL,NULL
115,7053,,2016-09-30 00:00:00.000,NULL,NULL,NULL
116,7054,"SECURITY DEPOSIT  ",2010-03-10 00:00:00.000,NULL,NULL,NULL
117,7054,,2012-03-12 00:00:00.000,NULL,NULL,NULL
118,7055,PRESCRIPTION,2013-03-13 00:00:00.000,NULL,NULL,NULL
119,3799," - INAGOS CROSSING",2022-06-01 00:00:00.000,NULL,NULL,NULL
120,3799,PEPCO,2023-04-05 00:00:00.000,NULL,NULL,NULL
121,7056,PRESCRIPTION,2010-10-10 00:00:00.000,NULL,NULL,NULL
122,7057,UTILITIES - PEPCO,2009-06-01 00:00:00.000,NULL,NULL,NULL
123,7057,UTILITIES - PEPCO,2011-07-11 00:00:00.000,NULL,NULL,NULL
124,7057,,2016-11-01 00:00:00.000,NULL,NULL,NULL
125,1694,WSSC,2022-10-21 00:00:00.000,NULL,NULL,NULL
126,7058,PRESCRIPTIONS,2011-03-11 00:00:00.000,NULL,NULL,NULL
127,7059,WSSC,2011-01-01 00:00:00.000,NULL,NULL,NULL
128,7059,WSSC,2013-09-13 00:00:00.000,NULL,NULL,NULL
129,7060," & UTILITIES - CROSSWAYS COMMUNITY",2010-01-01 00:00:00.000,NULL,NULL,NULL
130,7061,PEPCO,2022-02-23 00:00:00.000,NULL,NULL,NULL
131,7062,PRESCRIPTIONS,2014-02-14 00:00:00.000,NULL,NULL,NULL
132,7063," - AIMCO",2022-08-02 00:00:00.000,NULL,NULL,NULL
133,7063,PEPCO,2022-11-17 00:00:00.000,NULL,NULL,NULL
134,7064,,2012-09-12 00:00:00.000,NULL,NULL,NULL
135,7065," - HOC",2013-02-13 00:00:00.000,NULL,NULL,NULL
136,7066,UTILITIES - PEPCO,2010-02-10 00:00:00.000,NULL,NULL,NULL
137,7067,WASH GAS,2014-10-14 00:00:00.000,NULL,NULL,NULL
138,7068,PRESCRIPTIONS,2014-10-14 00:00:00.000,NULL,NULL,NULL
139,7069,,2011-10-11 00:00:00.000,NULL,NULL,NULL
140,7070,PRESCRIPTIONS,2011-03-11 00:00:00.000,NULL,NULL,NULL
141,7071,,2010-07-10 00:00:00.000,NULL,NULL,NULL
142,7072,,2018-09-20 00:00:00.000,NULL,NULL,NULL
143,7073,,2019-12-24 00:00:00.000,NULL,NULL,NULL
144,7073,,2020-03-06 00:00:00.000,NULL,NULL,NULL
145,7074,PEPCO,2014-09-14 00:00:00.000,NULL,NULL,NULL
146,7075,PEPCO,2014-07-14 00:00:00.000,NULL,NULL,NULL
147,7076,,2017-07-12 00:00:00.000,NULL,NULL,NULL
148,7076,PEPCO,2018-06-08 00:00:00.000,NULL,NULL,NULL
149,7077,WSSC,2011-04-11 00:00:00.000,NULL,NULL,NULL
150,7078,PRESCRIPTIONS,2016-06-20 00:00:00.000,NULL,NULL,NULL
151,7079,PEPCO,2018-11-06 00:00:00.000,NULL,NULL,NULL
152,7079,PEPCO,2019-09-17 00:00:00.000,NULL,NULL,NULL
153,7079,PEPCO,2021-07-14 00:00:00.000,NULL,NULL,NULL
154,7079,PEPCO,2023-03-25 00:00:00.000,NULL,NULL,NULL
155,7080,PEPCO,2023-03-17 00:00:00.000,NULL,NULL,NULL
156,7081,WESTWOOD TOWER APARTMENTS,2022-01-21 00:00:00.000,NULL,NULL,NULL
157,7082,PRESCRIPTIONS,2014-09-14 00:00:00.000,NULL,NULL,NULL
158,7083,UTILITIES - PEPCO,2009-07-01 00:00:00.000,NULL,NULL,NULL
159,7084,ALDON MGMT.,2023-02-25 00:00:00.000,NULL,NULL,NULL
160,7085,WSSC,2011-01-11 00:00:00.000,NULL,NULL,NULL
161,7086,PEPCO,2017-05-03 00:00:00.000,NULL,NULL,NULL
162,4061,NULL,2016-09-15 00:00:00.000,NULL,NULL,NULL
163,4061,PEPCO,2016-09-29 00:00:00.000,NULL,NULL,NULL
164,4061,NULL,2017-06-26 00:00:00.000,NULL,NULL,NULL
165,7088,PEPCO,2017-08-18 00:00:00.000,NULL,NULL,NULL
166,7089,,2018-06-22 00:00:00.000,NULL,NULL,NULL
167,7090,,2014-03-14 00:00:00.000,NULL,NULL,NULL
168,7091,,2018-04-19 00:00:00.000,NULL,NULL,NULL
169,7092,PEPCO,2010-08-10 00:00:00.000,NULL,NULL,NULL
170,7093,PRESCRIPTION,2015-06-15 00:00:00.000,NULL,NULL,NULL
171,7094,PRESCRIPTION,2013-01-13 00:00:00.000,NULL,NULL,NULL
172,7095,PRESCRIPTION  SEPT 09,2009-09-09 00:00:00.000,NULL,NULL,NULL
173,7095,PRESCRIPTION  FEB 2022,2022-07-13 00:00:00.000,NULL,NULL,NULL
174,1359,PEPCO   FEB 2010,2010-02-10 00:00:00.000,Client was in Apt #203 and first name was spelled Marlene when this payment was made.,NULL,NULL
175,1359,PEPCO   FEB 2014,2014-02-14 00:00:00.000,First name was spelled Marlene when this payment was made.,NULL,NULL
176,1359,"PEPCO   ",2019-11-27 00:00:00.000,First name was spelled Marlene when this payment was made.,NULL,NULL
177,1359,"PEPCO   ",2011-05-11 00:00:00.000,NULL,NULL,NULL
178,1359,"PEPCO   ",2017-02-16 00:00:00.000,NULL,NULL,NULL
179,1359,"PEPCO   ",2018-03-19 00:00:00.000,NULL,NULL,NULL
180,1359," - MAGRUDER'S DISCOVERY",2022-01-25 00:00:00.000,NULL,NULL,NULL
181,1359,PEPCO,2023-02-23 00:00:00.000,NULL,NULL,NULL
182,7097,PEPCO,2014-07-14 00:00:00.000,NULL,NULL,NULL
183,7097,PEPCO,2023-02-02 00:00:00.000,NULL,NULL,NULL
184,7098,WASHINGTON GAS,2010-12-10 00:00:00.000,NULL,NULL,NULL
185,7099,PRESCRIPTIONS,2011-07-11 00:00:00.000,NULL,NULL,NULL
186,7100,PEPCO,2011-01-11 00:00:00.000,NULL,NULL,NULL
187,7101,WSSC,2012-09-12 00:00:00.000,NULL,NULL,NULL
188,7101,,2020-02-03 00:00:00.000,NULL,NULL,NULL
189,7102,,2014-05-14 00:00:00.000,NULL,NULL,NULL
190,7103,PEPCO,2014-05-14 00:00:00.000,NULL,NULL,NULL
191,4076,PEPCO,2023-05-10 00:00:00.000,NULL,NULL,NULL
192,1361,NULL,2010-11-10 00:00:00.000,NULL,NULL,NULL
193,1361,NULL,2013-10-13 00:00:00.000,NULL,NULL,NULL
194,1361,NULL,2015-02-15 00:00:00.000,NULL,NULL,NULL
195,7105,PEPCO,2014-09-14 00:00:00.000,NULL,NULL,NULL
196,7106,PRESCRIPTIONS,2010-07-10 00:00:00.000,NULL,NULL,NULL
197,7107,WASHINGTON GAS,2010-05-10 00:00:00.000,NULL,NULL,NULL
198,3877,PEPCO,2014-06-14 00:00:00.000,NULL,NULL,NULL
199,3877,"HOC - ",2016-03-25 00:00:00.000,NULL,NULL,NULL
200,3877,PEPCO,2018-04-13 00:00:00.000,NULL,NULL,NULL
201,7108,,2020-03-18 00:00:00.000,NULL,NULL,NULL
202,1363,PRESCRIPTION,2015-09-15 00:00:00.000,NULL,NULL,NULL
203,1363,PRESCRIPTION,2016-04-13 00:00:00.000,NULL,NULL,NULL
204,1363,PRESCRIPTION,2017-05-11 00:00:00.000,NULL,NULL,NULL
205,1363,PRESCRIPTION,2017-08-18 00:00:00.000,NULL,NULL,NULL
206,1363,PRESCRIPTION,2018-02-16 00:00:00.000,NULL,NULL,NULL
207,1363,PRESCRIPTION,2018-06-14 00:00:00.000,NULL,NULL,NULL
208,1363,PRESCRIPTION,2019-01-21 00:00:00.000,NULL,NULL,NULL
209,1363,PEPCO,2019-08-06 00:00:00.000,NULL,NULL,NULL
210,1363,PRESCRIPTION,2020-02-24 00:00:00.000,NULL,NULL,NULL
211,1363,PRESCRIPTION,2020-08-18 00:00:00.000,NULL,NULL,NULL
212,1363,PRESCRIPTION,2021-01-04 00:00:00.000,NULL,NULL,NULL
213,7109,WASHINGTON GAS,2011-08-11 00:00:00.000,NULL,NULL,NULL
214,7109,PEPCO,2012-10-12 00:00:00.000,NULL,NULL,NULL
215,7110,WASHINGTON GAS,2010-07-10 00:00:00.000,NULL,NULL,NULL
216,7111,PEPCO,2011-06-11 00:00:00.000,NULL,NULL,NULL
217,7111,WSSC,2014-02-01 00:00:00.000,NULL,NULL,NULL
218,7111,WASH GAS,2015-07-15 00:00:00.000,NULL,NULL,NULL
219,7112,PRESCRIPTION,2009-09-09 00:00:00.000,NULL,NULL,NULL
220,3789,UTILITIES,2019-12-24 00:00:00.000,NULL,NULL,NULL
221,7113,WASHINGTON GAS,2010-05-10 00:00:00.000,NULL,NULL,NULL
222,7114,WASHINGTON GAS,2013-11-13 00:00:00.000,NULL,NULL,NULL
223,7115," - E. M. POUR",2013-08-13 00:00:00.000,NULL,NULL,NULL
224,7116,WASHINGTON GAS,2017-11-10 00:00:00.000,NULL,NULL,NULL
225,7116," - FIELDS OF BETHESDA",2017-11-10 00:00:00.000,NULL,NULL,NULL
226,7117,PEPCO,2017-06-07 00:00:00.000,NULL,NULL,NULL
227,7118," - THE ELM BETHESDA",2023-04-17 00:00:00.000,NULL,NULL,NULL
228,1368,PEPCO,2010-04-10 00:00:00.000,NULL,NULL,NULL
229,1368,PEPCO,2011-11-15 00:00:00.000,NULL,NULL,NULL
230,1368," - HOC",2018-01-27 00:00:00.000,NULL,NULL,NULL
231,1368,WSSC WATER,2022-12-22 00:00:00.000,NULL,NULL,NULL
232,1368," - HOC",2017-02-22 00:00:00.000,NULL,NULL,NULL
234,3945,"MAGRUDER'S DISCOVERY - ",2022-01-13 00:00:00.000,NULL,NULL,NULL
235,3945,"MAGRUDER'S DISCOVERY - ",2023-05-10 00:00:00.000,NULL,NULL,NULL
236,7120,UTILITIES (CROSSWAYS COMMUNITY),2009-06-01 00:00:00.000,NULL,NULL,NULL
237,7121," - BENJAMIN KIRSON - LANDLORD",2018-02-21 00:00:00.000,NULL,NULL,NULL
238,1369," - HOC",2018-01-25 00:00:00.000,NULL,NULL,NULL
239,1369," - MAGRUDER DISCOVERY",2022-04-08 00:00:00.000,NULL,NULL,NULL
240,7122," (STONEHAM CT OXFORD HOUSE)",2012-10-12 00:00:00.000,NULL,NULL,NULL
241,7123," (OXFORD HOUSE)",2013-07-13 00:00:00.000,NULL,NULL,NULL
242,7124,PRESCRIPTIONS,2011-03-11 00:00:00.000,NULL,NULL,NULL
243,7125,WSSC,2022-06-21 00:00:00.000,NULL,NULL,NULL
244,7126,PRESCRIPTIONS,2010-07-10 00:00:00.000,NULL,NULL,NULL
245,7127,PRESCRIPTIONS,2012-02-01 00:00:00.000,NULL,NULL,NULL
246,7128,PEPCO,2011-07-11 00:00:00.000,NULL,NULL,NULL
247,7129,WSSC   MAY 2009,2009-05-01 00:00:00.000,NULL,NULL,NULL
248,7130,PEPCO,2011-01-11 00:00:00.000,NULL,NULL,NULL
249,7131,PEPCO,2014-12-14 00:00:00.000,NULL,NULL,NULL
250,7132,POD STORAGE,2011-02-11 00:00:00.000,NULL,NULL,NULL
251,7133,PEPCO,2011-06-11 00:00:00.000,NULL,NULL,NULL
252,1381,PEPCO,2014-04-14 00:00:00.000,Client's first name was spelled Persida when this payment was made.,NULL,NULL
253,7135,PRESCRIPTIONS,2012-07-12 00:00:00.000,NULL,NULL,NULL
254,7137,NULL,2013-10-13 00:00:00.000,"Client was living at 3 Pooks Hill Rd. #209, Bethesday, MD 20814 and last name was spelled Garrif-Taylor when this payment was made.",NULL,NULL
255,7137,,2014-11-14 00:00:00.000,NULL,NULL,NULL
256,7138,PRESCRIPTIONS,2018-04-13 00:00:00.000,NULL,NULL,NULL
257,7139,WSSC,2012-10-12 00:00:00.000,NULL,NULL,NULL
258,7139,WSSC,2013-07-13 00:00:00.000,NULL,NULL,NULL
259,7139,WSSC,2016-03-16 00:00:00.000,NULL,NULL,NULL
260,7139,WASH GAS,2019-04-12 00:00:00.000,NULL,NULL,NULL
261,7139,WSSC,2019-04-12 00:00:00.000,NULL,NULL,NULL
262,7140,PEPCO  JULY 2009,2009-07-01 00:00:00.000,NULL,NULL,NULL
263,1384,PRESCRIPTIONS,2017-10-13 00:00:00.000,NULL,NULL,NULL
264,1384,PEPCO,2017-10-18 00:00:00.000,NULL,NULL,NULL
265,1384,PEPCO,2018-02-02 00:00:00.000,NULL,NULL,NULL
266,1384,PRESCRIPTIONS,2018-02-16 00:00:00.000,NULL,NULL,NULL
267,1384,PRESCRIPTIONS,2019-03-13 00:00:00.000,NULL,NULL,NULL
268,7141,PRESCRIPTION,2021-11-25 00:00:00.000,NULL,NULL,NULL
269,7141,PRESCRIPTION,2022-02-18 00:00:00.000,NULL,NULL,NULL
270,7142,WSSC,2022-06-21 00:00:00.000,NULL,NULL,NULL
271,7142,PEPCO,2022-06-21 00:00:00.000,NULL,NULL,NULL
272,7143,WASH GAS,2014-06-14 00:00:00.000,NULL,NULL,NULL
273,7144,PRESCRIPTIONS,2012-05-12 00:00:00.000,NULL,NULL,NULL
274,7145,PRESCRIPTIONS,2016-03-23 00:00:00.000,NULL,NULL,NULL
275,3778,PEPCO,2010-11-10 00:00:00.000,NULL,NULL,NULL
276,7146,PEPCO,2017-09-18 00:00:00.000,NULL,NULL,NULL
277,7147,PEPCO,2010-12-10 00:00:00.000,NULL,NULL,NULL
278,7148,PRESCRIPTION,2013-02-01 00:00:00.000,NULL,NULL,NULL
279,7149,PRESCRIPTION,2011-06-11 00:00:00.000,NULL,NULL,NULL
280,7150,PEPCO,2012-03-12 00:00:00.000,NULL,NULL,NULL
281,7151,PEPCO,2010-11-10 00:00:00.000,NULL,NULL,NULL
282,7152,PRESCRIPTION,2016-08-20 00:00:00.000,NULL,NULL,NULL
283,7153," - TRIANGLE TOWERS APTS",2022-04-19 00:00:00.000,NULL,NULL,NULL
284,7154,"HOC - ",2013-10-13 00:00:00.000,NULL,NULL,NULL
285,7155,PEPCO MARCH 2010,2010-03-10 00:00:00.000,NULL,NULL,NULL
286,7156,WASH GAS,2010-06-10 00:00:00.000,NULL,NULL,NULL
287,7157,PEPCO,2014-02-01 00:00:00.000,NULL,NULL,NULL
288,7158,PEPCO,2011-06-11 00:00:00.000,NULL,NULL,NULL
289,7159,WASH GAS,2014-10-14 00:00:00.000,NULL,NULL,NULL
290,7160,PEPCO,2016-02-16 00:00:00.000,NULL,NULL,NULL
291,7160,PEPCO,2020-02-21 00:00:00.000,NULL,NULL,NULL
292,3791,WASHINGTON GAS,2023-02-28 00:00:00.000,NULL,NULL,NULL
293,7161,WASHINGTON GAS,2011-11-11 00:00:00.000,NULL,NULL,NULL
294,7162,PEPCO,2012-05-12 00:00:00.000,NULL,NULL,NULL
295,7163,,2012-08-12 00:00:00.000,NULL,NULL,NULL
296,7165,PEPCO,2013-05-13 00:00:00.000,NULL,NULL,NULL
297,7165,PEPCO,2017-08-17 00:00:00.000,NULL,NULL,NULL
298,7165,,2017-09-22 00:00:00.000,NULL,NULL,NULL
299,7165,PEPCO,2019-04-11 00:00:00.000,NULL,NULL,NULL
300,1403,UTILITIES,2020-12-09 00:00:00.000,NULL,NULL,NULL
301,7166,PEPCO,2010-08-10 00:00:00.000,NULL,NULL,NULL
302,7167,WASH GAS,2015-07-15 00:00:00.000,NULL,NULL,NULL
303,7168,PEPCO,2011-07-11 00:00:00.000,NULL,NULL,NULL
304,1404," - HOC",2017-10-19 00:00:00.000,NULL,NULL,NULL
305,7170,,2013-04-13 00:00:00.000,NULL,NULL,NULL
306,7171,PRESCRIPTION,2010-10-10 00:00:00.000,NULL,NULL,NULL
307,7172,PRESCRIPTION,2010-01-01 00:00:00.000,NULL,NULL,NULL
308,7173,WASHINGTON GAS,2010-09-10 00:00:00.000,NULL,NULL,NULL
309,7174,PRESCRIPTIONS,2013-03-01 00:00:00.000,NULL,NULL,NULL
310,7175,WSSC,2016-10-31 00:00:00.000,NULL,NULL,NULL
311,7176,WSSC,2023-05-02 00:00:00.000,NULL,NULL,NULL
312,7177,PRESCRIPTIONS,2018-03-15 00:00:00.000,NULL,NULL,NULL
313,7178,PEPCO,2010-05-10 00:00:00.000,NULL,NULL,NULL
314,7178,PEPCO,2011-04-11 00:00:00.000,NULL,NULL,NULL
315,7179,PRESCRIPTIONS,2017-01-12 00:00:00.000,NULL,NULL,NULL
316,7180,,2010-06-10 00:00:00.000,NULL,NULL,NULL
317,4054,PRESCRIPTIONS,2023-05-18 00:00:00.000,NULL,NULL,NULL
318,7181,WSSC,2016-06-20 00:00:00.000,NULL,NULL,NULL
319,7182," - FIELDS OF BETHESDA",2023-03-18 00:00:00.000,NULL,NULL,NULL
320,7183,PEPCO,2022-09-29 00:00:00.000,NULL,NULL,NULL
321,1416,,2017-02-17 00:00:00.000,NULL,NULL,NULL
322,1416,MEDICAL,2022-09-20 00:00:00.000,NULL,NULL,NULL
323,7184,WASHINGTON GAS,2023-02-04 00:00:00.000,NULL,NULL,NULL
324,7185,PRESCRIPTIONS,2013-04-13 00:00:00.000,NULL,NULL,NULL
325,7186,PRESCRIPTIONS,2012-09-12 00:00:00.000,NULL,NULL,NULL
326,7187,WASHINGTON GAS,2010-05-10 00:00:00.000,NULL,NULL,NULL
327,7187,WASHINGTON GAS,2012-06-12 00:00:00.000,NULL,NULL,NULL
328,7187,PEPCO,2015-12-15 00:00:00.000,NULL,NULL,NULL
329,7188,"  BARCLAY APTS ",2012-01-12 00:00:00.000,NULL,NULL,NULL
330,1419,PEPCO,2021-12-03 00:00:00.000,Client's first name listed as Julie when this payment was made.,NULL,NULL
331,7190,WSSC,2010-10-10 00:00:00.000,NULL,NULL,NULL
332,1684,WSSC,2014-07-14 00:00:00.000,NULL,NULL,NULL
333,1684,WSSC,2015-11-15 00:00:00.000,NULL,NULL,NULL
334,1684,WSSC,2016-07-19 00:00:00.000,NULL,NULL,NULL
335,1684,,2017-08-04 00:00:00.000,NULL,NULL,NULL
336,1684,WSSC,2019-06-28 00:00:00.000,NULL,NULL,NULL
337,1420,PEPCO,2010-11-10 00:00:00.000,NULL,NULL,NULL
338,1420,"HOC - ",2012-04-12 00:00:00.000,NULL,NULL,NULL
339,1420,"HOC - ",2019-09-25 00:00:00.000,NULL,NULL,NULL
